File_ID,File_Path_Origin,File_Size,File_Date,File_Path_Destination,File_Destination_Size
61,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13780-INFO-SOC-GLASSDOOR-E35333_P1.html,208.4 KB,2023-04-07 14:29:46.519826,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13780-INFO-SOC-GLASSDOOR-E35333_P1.html,208.4 KB
62,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13722-AVIS-SOC-GLASSDOOR-E1256638_P2.html,593.1 KB,2023-04-07 14:29:46.520545,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13722-AVIS-SOC-GLASSDOOR-E1256638_P2.html,593.1 KB
63,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13615-INFO-EMP-LINKEDIN-FR-1636623683.html,365.3 KB,2023-04-07 14:29:46.521292,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13615-INFO-EMP-LINKEDIN-FR-1636623683.html,365.3 KB
64,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13589-INFO-EMP-LINKEDIN-FR-1572087526.html,90.7 KB,2023-04-07 14:29:46.522021,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13589-INFO-EMP-LINKEDIN-FR-1572087526.html,90.7 KB
65,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13653-INFO-EMP-LINKEDIN-FR-1599900563.html,428.1 KB,2023-04-07 14:29:46.522747,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13653-INFO-EMP-LINKEDIN-FR-1599900563.html,428.1 KB
66,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13676-INFO-EMP-LINKEDIN-FR-1604826770.html,367.4 KB,2023-04-07 14:29:46.523524,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13676-INFO-EMP-LINKEDIN-FR-1604826770.html,367.4 KB
67,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13805-AVIS-SOC-GLASSDOOR-E846722_P1.html,512.0 KB,2023-04-07 14:29:46.524234,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13805-AVIS-SOC-GLASSDOOR-E846722_P1.html,512.0 KB
68,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13576-AVIS-SOC-GLASSDOOR-E18712_P1.html,496.8 KB,2023-04-07 14:29:46.524956,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13576-AVIS-SOC-GLASSDOOR-E18712_P1.html,496.8 KB
69,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13553-INFO-SOC-GLASSDOOR-E5304_P1.html,221.8 KB,2023-04-07 14:29:46.525689,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13553-INFO-SOC-GLASSDOOR-E5304_P1.html,221.8 KB
70,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13614-INFO-SOC-GLASSDOOR-E230035_P1.html,214.9 KB,2023-04-07 14:29:46.526428,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13614-INFO-SOC-GLASSDOOR-E230035_P1.html,214.9 KB
71,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13654-INFO-SOC-GLASSDOOR-E899918_P1.html,188.7 KB,2023-04-07 14:29:46.527144,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13654-INFO-SOC-GLASSDOOR-E899918_P1.html,188.7 KB
72,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13761-AVIS-SOC-GLASSDOOR-E1366034_P1.html,437.1 KB,2023-04-07 14:29:46.527881,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/AVI/13761-AVIS-SOC-GLASSDOOR-E1366034_P1.html,437.1 KB
73,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13771-INFO-EMP-LINKEDIN-FR-1638315919.html,407.1 KB,2023-04-07 14:29:46.528651,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13771-INFO-EMP-LINKEDIN-FR-1638315919.html,407.1 KB
74,/home/anthony/Documents/TD_DATALAKE/DATALAKE/0_SOURCE_WEB/13643-INFO-EMP-LINKEDIN-FR-1572466931.html,416.1 KB,2023-04-07 14:29:46.529376,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/LINKEDIN/EMP/13643-INFO-EMP-LINKEDIN-FR-1572466931.html,416.1 KB
