,file,society,city,size,secteur,fondation,website
67,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13633-INFO-SOC-GLASSDOOR-E672181_P1.html,Softeam,Paris,De 501 à 1 000 employés, Matériel et logiciels informatiques, Inconnu,None
68,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13678-INFO-SOC-GLASSDOOR-E379472_P1.html,Logware,Paris,Entre 201 et 500 employés, Conseils, 1997,None
69,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13621-INFO-SOC-GLASSDOOR-E1178969_P1.html,Morgan Philips Group,Luxembourg (Luxembourg),De 51 à 200 employés, Inconnu, Inconnu,None
70,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13761-INFO-SOC-GLASSDOOR-E1366034_P1.html,Artefact,Paris,De 501 à 1 000 employés, Conseils, Inconnu,None
71,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13627-INFO-SOC-GLASSDOOR-E253618_P1.html,Concordia University,"Montréal, QC (Canada)",De 5 001 à 10 000 employés, Enseignement supérieur et universités, Inconnu,None
72,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13630-INFO-SOC-GLASSDOOR-E456207_P1.html,Eidos Montreal,"Montréal, QC (Canada)",Entre 201 et 500 employés, Jeux vidéo, Inconnu,None
73,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13772-INFO-SOC-GLASSDOOR-E3974_P1.html,SKF,Gothenburg (Suède),Plus de 10 000 employés, Fabrication industrielle, 1907,None
74,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13596-INFO-SOC-GLASSDOOR-E111193_P1.html,Lacoste,Paris,De 5 001 à 10 000 employés," Magasins de chaussures, de vêtements et grands magasins", 1933,None
75,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13587-INFO-SOC-GLASSDOOR-E1838_P1.html,Robert Half,"Menlo Park, CA (États-Unis)",Plus de 10 000 employés, Recrutement et sous-traitance, 1948,None
76,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13705-INFO-SOC-GLASSDOOR-E2762239_P1.html,Sanofi Pasteur,Inconnu, Inconnu, Inconnu, Inconnu,None
77,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13704-INFO-SOC-GLASSDOOR-E9347_P1.html,Sanofi,Paris,Plus de 10 000 employés, Biotechnologies et pharmaceutique, 1973,None
78,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13764-INFO-SOC-GLASSDOOR-E1164584_P1.html,Artefacts Studio,Villeurbanne,De 1 à 50 employés, Inconnu, 2003,None
79,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13661-INFO-SOC-GLASSDOOR-E633820_P1.html,Sii Poland,Varsovie (Pologne),De 1 001 à 5 000 employés, Services informatiques, 2006,None
80,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13778-INFO-SOC-GLASSDOOR-E9028_P1.html,Gfi Informatique,"Saint-Ouen, Île-de-France",Plus de 10 000 employés, Services informatiques, 1995,None
81,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13646-INFO-SOC-GLASSDOOR-E3489_P1.html,LVMH,Paris,Plus de 10 000 employés, Autres magasins de détail, 1987,None
82,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13796-INFO-SOC-GLASSDOOR-E3054_P1.html,Accor,Paris,Plus de 10 000 employés," Hôtels, motels et stations de tourisme", 1967,None
83,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13769-INFO-SOC-GLASSDOOR-E658429_P1.html,Phaidon International,"Londres, Angleterre (Royaume-Uni)",De 501 à 1 000 employés, Recrutement et sous-traitance, 2004,None
84,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13552-INFO-SOC-GLASSDOOR-E2131167_P1.html,Atos Consulting,Nyon (Suisse),De 1 001 à 5 000 employés, Inconnu, Inconnu,None
85,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13645-INFO-SOC-GLASSDOOR-E14590_P1.html,Sephora,"San Francisco, CA (États-Unis)",Plus de 10 000 employés, Salons de beauté et magasins d'accessoires, 1969,None
86,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13805-INFO-SOC-GLASSDOOR-E846722_P1.html,OTV,"Saint-Maurice, Alsace",Plus de 10 000 employés, Services publics de distribution, 1980,None
87,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13598-INFO-SOC-GLASSDOOR-E1363502_P1.html,Lacoste Traiteur,Eysines,De 51 à 200 employés, Inconnu, Inconnu,None
88,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13717-INFO-SOC-GLASSDOOR-E1187250_P1.html,Sopra Steria Recruitment,"Reading, Angleterre (Royaume-Uni)",De 51 à 200 employés, Recrutement et sous-traitance, 1979,None
89,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13624-INFO-SOC-GLASSDOOR-E397805_P1.html,STM,"Montréal, QC (Canada)",De 5 001 à 10 000 employés, Secteur ferroviaire, 1861,None
90,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13562-INFO-SOC-GLASSDOOR-E1303620_P1.html,2S2I Solutions & Services,Montpellier,De 51 à 200 employés, Services informatiques, 2007,None
91,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13689-INFO-SOC-GLASSDOOR-E2098670_P1.html,Adsearch,Paris,De 51 à 200 employés, Inconnu, Inconnu,None
92,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13729-INFO-SOC-GLASSDOOR-E234791_P1.html,Astek Group,"Altrincham, Angleterre (Royaume-Uni)",De 1 à 50 employés, Fabrication de produits de soins de santé, Inconnu,None
93,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13724-INFO-SOC-GLASSDOOR-E1126011_P1.html,alptis assurances,Lyon,Entre 201 et 500 employés, Inconnu, 1976,None
94,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13628-INFO-SOC-GLASSDOOR-E235643_P1.html,University of Montreal,"Montréal, QC (Canada)",De 5 001 à 10 000 employés, Enseignement supérieur et universités, Inconnu,None
95,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13758-INFO-SOC-GLASSDOOR-E5694_P1.html,OpenText,"Waterloo, ON (Canada)",Plus de 10 000 employés, Solutions logicielles et réseau d'entreprise, 1992,None
96,/home/anthony/Documents/TD_DATALAKE/DATALAKE/1_LANDING_ZONE/GLASSDOOR/SOC/13564-INFO-SOC-GLASSDOOR-E4245_P1.html,Bayer,Leverkusen (Allemagne),Plus de 10 000 employés, Biotechnologies et pharmaceutique, 1863,None
